order_id,customer_id,product_id,quantity,order_timestamp,payment_method,status,shipping_city,order_value
23033947-7b5b-4c79-aefd-ba383d4d0ca9,7,9,3,2026-04-19 08:54:21.493909+00:00,Card,Completed,Vijayawada,19804.77
4ce05218-5ee3-4dd5-be8c-78e8c517b4a8,1,15,4,2026-04-19 08:54:21.493909+00:00,Card,Cancelled,Tirupati,87894.96
ca4b9013-404a-4cdc-9e41-5513816bdb81,1,17,5,2026-04-19 08:54:21.493909+00:00,Card,Completed,Phagwara,85220.6
b180f132-5fff-4161-b061-08e92e51c93e,2,6,5,2026-04-19 08:54:21.493909+00:00,Upi,Completed,Kozhikode,107672.1
579e20d9-fec2-493e-a1b7-69a5a6d18685,30,4,1,2026-04-19 08:54:21.493909+00:00,Cod,Completed,Erode,1853.71
03fae077-b72e-4ab3-9fe9-09182613404d,6,16,3,2026-04-19 08:54:21.493909+00:00,Card,Pending,Proddatur,10215.45
6c5e375b-d519-4fe4-a539-76950456685f,48,4,4,2026-04-19 08:54:21.493909+00:00,Cod,Pending,Panihati,7414.84
e03be0aa-e6a4-4408-8989-53d9e8149cdb,14,4,4,2026-04-19 08:54:21.493909+00:00,Cod,Cancelled,Gudivada,7414.84
ce193719-60dd-49be-91ea-1d6ac2c3f916,36,12,1,2026-04-19 08:54:21.493909+00:00,Cod,Pending,Nellore,11824.61
0539e189-f3f8-4baa-a2de-26e875374b1a,34,7,4,2026-04-19 08:54:21.493909+00:00,Upi,Completed,Junagadh,122247.8
544aeee1-fbe5-427c-a2e6-ef097b8427bb,24,8,5,2026-04-19 08:54:21.493909+00:00,Card,Pending,Kavali,177778.95
2c90f9ba-dc14-4335-96e3-d6a5c5d6f0e8,42,10,4,2026-04-19 08:54:21.493909+00:00,Cod,Completed,Jamnagar,31434.76
37da5650-81b6-4a17-877c-db86b66a2ca8,22,14,1,2026-04-19 08:54:21.493909+00:00,Cod,Completed,Bongaigaon,29797.6
a2bbf174-9aa0-4727-93f8-1b1d070dd854,21,10,4,2026-04-19 08:54:21.493909+00:00,Card,Completed,Vellore,31434.76
3d9cc9cd-d989-4472-ba19-3b5a4bcf5dc5,6,1,1,2026-04-19 08:54:21.493909+00:00,Cod,Completed,Nagpur,31866.41
31f462a9-0164-4ef4-8d84-2205051c63e5,37,1,3,2026-04-19 08:54:21.493909+00:00,Upi,Pending,Deoghar,95599.23
a1564c7b-3ecb-45f9-882a-6d5c1a9784d9,6,2,4,2026-04-19 08:54:21.493909+00:00,Card,Cancelled,Dindigul,182592.92
55748bb1-2499-4084-b4ef-51cb3a91214c,9,7,3,2026-04-19 08:54:21.493909+00:00,Card,Completed,New Delhi,91685.85
0f991b9c-52ea-4a3d-ac87-671c1139cf1b,22,7,2,2026-04-19 08:54:21.493909+00:00,Upi,Cancelled,Bhilwara,61123.9
472649fe-2eab-440e-9f05-e1eb4f883529,47,6,1,2026-04-19 08:54:21.493909+00:00,Upi,Completed,Dhanbad,21534.42
2cdeaed2-e7e5-4275-9b29-fa2408ebc231,18,16,5,2026-04-19 08:54:21.493909+00:00,Upi,Cancelled,Siliguri,17025.75
